"timebeforepresent, ecc, oblDeg, Lsp_rad, meanTsurf, atmosPressSF12, TotalForced, TotalFree, TotalSublimation"
0.0,0.0933,25.21014298575622,-108.95323340377792,154.16063362022086,0.0,1.6690075329133157e-05,2.7979839502770554e-05,4.466991483190372e-05
1000.0,0.0924,25.095551426730058,-115.25576915021698,153.82574437872336,0.0,1.3207170891972156e-05,2.2995230801149523e-05,3.620240169312177e-05
2000.0,0.0916,24.98095986770389,-122.13126269178686,153.48637815422256,0.0,1.0625110671469782e-05,2.0083613790327474e-05,3.0708724461797015e-05
3000.0,0.0905,24.86636830867773,-128.66298155627825,153.15616407175168,0.0,7.68219927775117e-06,1.5312415185353493e-05,2.2994614463104588e-05
4000.0,0.0896,24.75177674965156,-135.19470042076964,152.83301846691344,0.0,5.347085088547403e-06,1.1520797206553362e-05,1.6867882295100728e-05
5000.0,0.0887,24.6371851906254,-141.84101084428718,152.50987797254825,0.0,3.5152214801698418e-06,8.246817773162203e-06,1.1762039253332044e-05
6000.0,0.0878,24.522593631599232,-148.6019128268309,152.18515038602683,0.0,1.8373475044723915e-06,4.670805705627529e-06,6.508153210099924e-06
7000.0,0.0868,24.465297852086152,-155.30551902986153,152.00361705351125,0.0,1.2754239522242238e-06,3.447837832782019e-06,4.723261785006237e-06
8000.0,0.0859,24.350706293059986,-162.12371679191833,151.68066401667522,0.0,4.3622738818231435e-07,1.1885872436172447e-06,1.624814631799557e-06
9000.0,0.085,24.293410513546903,-168.9419145539751,151.4987130240329,0.0,1.6183811336919192e-07,4.0543646786841725e-07,5.672745812376107e-07
