# timestep	eccentricity	obliquity	LSP 
-132	6.67E-02	4.19E-01	3.37E+00
-133	6.79E-02	4.19E-01	3.24E+00
-134	6.93E-02	4.19E-01	3.11E+00
-135	7.07E-02	4.19E-01	2.98E+00
-136	7.21E-02	4.19E-01	2.85E+00
-137	7.37E-02	4.19E-01	2.73E+00
-138	7.54E-02	4.20E-01	2.60E+00
-139	7.70E-02	4.20E-01	2.47E+00
-140	7.87E-02	4.21E-01	2.35E+00
-141	8.05E-02	4.22E-01	2.23E+00
-142	8.20E-02	4.23E-01	2.11E+00
-143	8.37E-02	4.23E-01	1.99E+00
-144	8.55E-02	4.24E-01	1.87E+00
-145	8.72E-02	4.25E-01	1.74E+00
-146	8.88E-02	4.26E-01	1.63E+00
-147	9.06E-02	4.27E-01	1.51E+00
-148	9.24E-02	4.28E-01	1.39E+00
-149	9.40E-02	4.29E-01	1.27E+00
-150	9.57E-02	4.30E-01	1.15E+00
-151	9.75E-02	4.31E-01	1.03E+00
-152	9.91E-02	4.31E-01	9.13E-01
-153	1.01E-01	4.32E-01	7.96E-01
-154	1.02E-01	4.33E-01	6.80E-01
-155	1.04E-01	4.33E-01	5.62E-01
-156	1.05E-01	4.34E-01	4.45E-01
-157	1.06E-01	4.35E-01	3.28E-01
-158	1.08E-01	4.35E-01	2.11E-01
-159	1.09E-01	4.35E-01	9.31E-02
-160	1.10E-01	4.35E-01	6.26E+00
-161	1.11E-01	4.35E-01	6.14E+00
-162	1.12E-01	4.35E-01	6.03E+00
-163	1.13E-01	4.35E-01	5.91E+00
-164	1.14E-01	4.35E-01	5.79E+00
-165	1.15E-01	4.34E-01	5.68E+00
-166	1.16E-01	4.34E-01	5.56E+00
-167	1.16E-01	4.33E-01	5.44E+00
-168	1.17E-01	4.32E-01	5.33E+00
-169	1.17E-01	4.31E-01	5.21E+00
-170	1.17E-01	4.30E-01	5.09E+00
-171	1.17E-01	4.29E-01	4.98E+00
-172	1.18E-01	4.27E-01	4.86E+00
-173	1.18E-01	4.26E-01	4.74E+00
-174	1.17E-01	4.25E-01	4.62E+00
-175	1.18E-01	4.23E-01	4.51E+00
-176	1.17E-01	4.21E-01	4.39E+00
-177	1.17E-01	4.20E-01	4.27E+00
-178	1.16E-01	4.18E-01	4.16E+00
-179	1.16E-01	4.16E-01	4.04E+00
-180	1.15E-01	4.14E-01	3.93E+00
-181	1.14E-01	4.12E-01	3.81E+00
-182	1.13E-01	4.10E-01	3.69E+00
