# timestep	eccentricity	obliquity	LSP 
-3902	4.02E-02	4.57E-01	3.68E+00
-3903	4.13E-02	4.51E-01	3.56E+00
-3904	4.24E-02	4.45E-01	3.45E+00
-3905	4.35E-02	4.40E-01	3.33E+00
-3906	4.43E-02	4.34E-01	3.22E+00
-3907	4.53E-02	4.28E-01	3.11E+00
-3908	4.63E-02	4.22E-01	3.01E+00
-3909	4.71E-02	4.17E-01	2.90E+00
-3910	4.81E-02	4.12E-01	2.80E+00
-3911	4.90E-02	4.06E-01	2.70E+00
-3912	4.99E-02	4.01E-01	2.60E+00
-3913	5.08E-02	3.96E-01	2.50E+00
-3914	5.17E-02	3.92E-01	2.41E+00
-3915	5.26E-02	3.87E-01	2.32E+00
-3916	5.34E-02	3.83E-01	2.22E+00
-3917	5.42E-02	3.79E-01	2.14E+00
-3918	5.51E-02	3.75E-01	2.05E+00
-3919	5.59E-02	3.72E-01	1.96E+00
-3920	5.66E-02	3.69E-01	1.88E+00
-3921	5.75E-02	3.66E-01	1.80E+00
-3922	5.83E-02	3.64E-01	1.71E+00
-3923	5.91E-02	3.61E-01	1.63E+00
-3924	5.98E-02	3.60E-01	1.56E+00
-3925	6.07E-02	3.58E-01	1.48E+00
-3926	6.14E-02	3.57E-01	1.40E+00
-3927	6.21E-02	3.57E-01	1.32E+00
-3928	6.28E-02	3.57E-01	1.25E+00
-3929	6.34E-02	3.57E-01	1.17E+00
-3930	6.39E-02	3.58E-01	1.10E+00
-3931	6.44E-02	3.59E-01	1.02E+00
-3932	6.50E-02	3.60E-01	9.43E-01
-3933	6.54E-02	3.62E-01	8.63E-01
-3934	6.58E-02	3.65E-01	7.85E-01
-3935	6.64E-02	3.68E-01	7.06E-01
-3936	6.69E-02	3.71E-01	6.22E-01
-3937	6.73E-02	3.75E-01	5.41E-01
-3938	6.78E-02	3.80E-01	4.59E-01
-3939	6.84E-02	3.84E-01	3.75E-01
-3940	6.88E-02	3.89E-01	2.90E-01
-3941	6.92E-02	3.95E-01	2.07E-01
-3942	6.97E-02	4.01E-01	1.20E-01
-3943	7.00E-02	4.07E-01	3.27E-02
-3944	7.03E-02	4.14E-01	6.23E+00
-3945	7.05E-02	4.21E-01	6.14E+00
-3946	7.08E-02	4.28E-01	6.05E+00
-3947	7.09E-02	4.35E-01	5.96E+00
-3948	7.09E-02	4.43E-01	5.86E+00
-3949	7.11E-02	4.51E-01	5.77E+00
-3950	7.09E-02	4.59E-01	5.67E+00
-3951	7.07E-02	4.67E-01	5.57E+00
-3952	7.06E-02	4.75E-01	5.48E+00
-3953	7.03E-02	4.83E-01	5.37E+00
-3954	6.99E-02	4.92E-01	5.27E+00
-3955	6.95E-02	5.00E-01	5.17E+00
-3956	6.90E-02	5.08E-01	5.06E+00
-3957	6.84E-02	5.17E-01	4.95E+00
-3958	6.80E-02	5.25E-01	4.84E+00
-3959	6.75E-02	5.34E-01	4.72E+00
-3960	6.70E-02	5.42E-01	4.61E+00
-3961	6.64E-02	5.50E-01	4.49E+00
-3962	6.59E-02	5.58E-01	4.38E+00
-3963	6.54E-02	5.66E-01	4.26E+00
-3964	6.46E-02	5.74E-01	4.15E+00
-3965	6.38E-02	5.82E-01	4.03E+00
-3966	6.30E-02	5.89E-01	3.91E+00
-3967	6.20E-02	5.97E-01	3.79E+00
-3968	6.08E-02	6.04E-01	3.67E+00
-3969	5.96E-02	6.11E-01	3.55E+00
-3970	5.83E-02	6.17E-01	3.42E+00
-3971	5.70E-02	6.23E-01	3.29E+00
-3972	5.57E-02	6.29E-01	3.16E+00
-3973	5.44E-02	6.35E-01	3.03E+00
-3974	5.31E-02	6.40E-01	2.89E+00
-3975	5.19E-02	6.45E-01	2.75E+00
-3976	5.08E-02	6.49E-01	2.61E+00
-3977	4.98E-02	6.53E-01	2.46E+00
-3978	4.87E-02	6.57E-01	2.32E+00
-3979	4.77E-02	6.60E-01	2.17E+00
-3980	4.68E-02	6.63E-01	2.03E+00
-3981	4.59E-02	6.66E-01	1.88E+00
-3982	4.50E-02	6.68E-01	1.73E+00
-3983	4.42E-02	6.69E-01	1.58E+00
-3984	4.34E-02	6.70E-01	1.42E+00
-3985	4.26E-02	6.71E-01	1.26E+00
-3986	4.20E-02	6.72E-01	1.11E+00
-3987	4.15E-02	6.71E-01	9.44E-01
-3988	4.08E-02	6.71E-01	7.80E-01
-3989	4.05E-02	6.70E-01	6.16E-01
-3990	4.02E-02	6.68E-01	4.51E-01
-3991	4.03E-02	6.67E-01	2.82E-01
-3992	4.03E-02	6.64E-01	1.13E-01
-3993	4.05E-02	6.61E-01	6.23E+00
-3994	4.10E-02	6.58E-01	6.07E+00
-3995	4.16E-02	6.55E-01	5.90E+00
-3996	4.23E-02	6.51E-01	5.75E+00
-3997	4.31E-02	6.46E-01	5.59E+00
-3998	4.40E-02	6.41E-01	5.44E+00
-3999	4.48E-02	6.36E-01	5.29E+00
-4000	4.57E-02	6.31E-01	5.15E+00
-4001	4.66E-02	6.25E-01	5.01E+00
-4002	4.73E-02	6.19E-01	4.87E+00
-4003	4.80E-02	6.13E-01	4.73E+00
-4004	4.89E-02	6.06E-01	4.59E+00
-4005	4.97E-02	5.99E-01	4.45E+00
-4006	5.06E-02	5.92E-01	4.32E+00
-4007	5.15E-02	5.85E-01	4.18E+00
-4008	5.26E-02	5.78E-01	4.05E+00
-4009	5.36E-02	5.70E-01	3.92E+00
-4010	5.46E-02	5.62E-01	3.80E+00
-4011	5.58E-02	5.54E-01	3.68E+00
-4012	5.68E-02	5.46E-01	3.55E+00
-4013	5.78E-02	5.38E-01	3.44E+00
-4014	5.87E-02	5.29E-01	3.32E+00
-4015	5.97E-02	5.21E-01	3.21E+00
-4016	6.04E-02	5.13E-01	3.10E+00
-4017	6.12E-02	5.04E-01	2.99E+00
-4018	6.19E-02	4.96E-01	2.89E+00
-4019	6.25E-02	4.87E-01	2.78E+00
-4020	6.31E-02	4.79E-01	2.68E+00
-4021	6.36E-02	4.71E-01	2.57E+00
-4022	6.42E-02	4.62E-01	2.47E+00
-4023	6.47E-02	4.54E-01	2.37E+00
-4024	6.51E-02	4.46E-01	2.27E+00
-4025	6.56E-02	4.39E-01	2.18E+00
-4026	6.60E-02	4.31E-01	2.08E+00
-4027	6.63E-02	4.24E-01	1.99E+00
-4028	6.68E-02	4.17E-01	1.89E+00
-4029	6.72E-02	4.10E-01	1.80E+00
-4030	6.75E-02	4.04E-01	1.71E+00
-4031	6.79E-02	3.97E-01	1.62E+00
-4032	6.84E-02	3.91E-01	1.53E+00
-4033	6.87E-02	3.86E-01	1.45E+00
-4034	6.90E-02	3.81E-01	1.36E+00
-4035	6.94E-02	3.76E-01	1.28E+00
-4036	6.97E-02	3.71E-01	1.20E+00
-4037	6.99E-02	3.67E-01	1.12E+00
-4038	7.01E-02	3.64E-01	1.04E+00
-4039	7.02E-02	3.61E-01	9.65E-01
-4040	7.02E-02	3.58E-01	8.87E-01
-4041	7.01E-02	3.56E-01	8.10E-01
-4042	7.01E-02	3.54E-01	7.32E-01
-4043	7.00E-02	3.53E-01	6.51E-01
-4044	6.99E-02	3.52E-01	5.73E-01
-4045	6.98E-02	3.52E-01	4.95E-01
-4046	6.98E-02	3.52E-01	4.12E-01
-4047	6.96E-02	3.53E-01	3.32E-01
-4048	6.95E-02	3.54E-01	2.51E-01
-4049	6.95E-02	3.56E-01	1.69E-01
-4050	6.93E-02	3.58E-01	8.58E-02
-4051	6.92E-02	3.61E-01	2.85E-03
-4052	6.90E-02	3.64E-01	6.20E+00
-4053	6.89E-02	3.67E-01	6.12E+00
-4054	6.85E-02	3.71E-01	6.03E+00
-4055	6.83E-02	3.75E-01	5.94E+00
-4056	6.81E-02	3.80E-01	5.85E+00
-4057	6.77E-02	3.85E-01	5.76E+00
-4058	6.73E-02	3.90E-01	5.67E+00
-4059	6.70E-02	3.96E-01	5.58E+00
-4060	6.65E-02	4.02E-01	5.48E+00
-4061	6.59E-02	4.08E-01	5.39E+00
-4062	6.54E-02	4.14E-01	5.29E+00
-4063	6.47E-02	4.21E-01	5.19E+00
-4064	6.39E-02	4.27E-01	5.09E+00
-4065	6.31E-02	4.34E-01	4.98E+00
-4066	6.23E-02	4.42E-01	4.87E+00
-4067	6.14E-02	4.49E-01	4.76E+00
-4068	6.06E-02	4.56E-01	4.65E+00
-4069	5.97E-02	4.64E-01	4.53E+00
-4070	5.90E-02	4.72E-01	4.41E+00
-4071	5.81E-02	4.79E-01	4.29E+00
-4072	5.74E-02	4.87E-01	4.17E+00
-4073	5.68E-02	4.95E-01	4.04E+00
-4074	5.60E-02	5.03E-01	3.91E+00
-4075	5.53E-02	5.11E-01	3.79E+00
-4076	5.45E-02	5.19E-01	3.66E+00
-4077	5.38E-02	5.28E-01	3.53E+00
-4078	5.29E-02	5.36E-01	3.39E+00
-4079	5.20E-02	5.44E-01	3.26E+00
-4080	5.12E-02	5.52E-01	3.12E+00
-4081	5.03E-02	5.60E-01	2.97E+00
-4082	4.96E-02	5.68E-01	2.83E+00
-4083	4.89E-02	5.76E-01	2.68E+00
-4084	4.83E-02	5.83E-01	2.53E+00
-4085	4.78E-02	5.91E-01	2.37E+00
-4086	4.75E-02	5.98E-01	2.22E+00
-4087	4.74E-02	6.05E-01	2.06E+00
-4088	4.73E-02	6.12E-01	1.90E+00
-4089	4.73E-02	6.19E-01	1.74E+00
-4090	4.75E-02	6.26E-01	1.59E+00
-4091	4.80E-02	6.32E-01	1.43E+00
-4092	4.84E-02	6.38E-01	1.27E+00
-4093	4.90E-02	6.44E-01	1.11E+00
-4094	4.97E-02	6.50E-01	9.60E-01
-4095	5.04E-02	6.55E-01	8.08E-01
-4096	5.12E-02	6.60E-01	6.59E-01
-4097	5.20E-02	6.65E-01	5.11E-01
-4098	5.28E-02	6.69E-01	3.61E-01
-4099	5.36E-02	6.73E-01	2.14E-01
-4100	5.44E-02	6.77E-01	6.76E-02
-4101	5.55E-02	6.80E-01	6.21E+00
-4102	5.65E-02	6.83E-01	6.06E+00
-4103	5.76E-02	6.86E-01	5.91E+00
-4104	5.89E-02	6.88E-01	5.77E+00
-4105	6.04E-02	6.89E-01	5.63E+00
-4106	6.18E-02	6.90E-01	5.49E+00
-4107	6.33E-02	6.91E-01	5.36E+00
-4108	6.49E-02	6.91E-01	5.22E+00
-4109	6.63E-02	6.91E-01	5.09E+00
-4110	6.77E-02	6.90E-01	4.97E+00
-4111	6.91E-02	6.89E-01	4.84E+00
-4112	7.03E-02	6.88E-01	4.72E+00
-4113	7.13E-02	6.86E-01	4.60E+00
-4114	7.22E-02	6.84E-01	4.47E+00
-4115	7.32E-02	6.81E-01	4.35E+00
-4116	7.40E-02	6.78E-01	4.23E+00
-4117	7.47E-02	6.74E-01	4.11E+00
-4118	7.55E-02	6.70E-01	3.99E+00
-4119	7.63E-02	6.65E-01	3.86E+00
-4120	7.70E-02	6.60E-01	3.74E+00
-4121	7.78E-02	6.55E-01	3.63E+00
-4122	7.87E-02	6.49E-01	3.51E+00
-4123	7.93E-02	6.43E-01	3.39E+00
-4124	8.01E-02	6.36E-01	3.27E+00
-4125	8.09E-02	6.29E-01	3.16E+00
-4126	8.14E-02	6.22E-01	3.05E+00
-4127	8.20E-02	6.14E-01	2.94E+00
-4128	8.25E-02	6.06E-01	2.83E+00
-4129	8.29E-02	5.98E-01	2.72E+00
-4130	8.32E-02	5.89E-01	2.61E+00
-4131	8.33E-02	5.80E-01	2.51E+00
-4132	8.35E-02	5.71E-01	2.40E+00
-4133	8.34E-02	5.62E-01	2.29E+00
-4134	8.33E-02	5.53E-01	2.19E+00
-4135	8.31E-02	5.43E-01	2.09E+00
-4136	8.29E-02	5.33E-01	1.98E+00
-4137	8.25E-02	5.24E-01	1.88E+00
-4138	8.22E-02	5.14E-01	1.78E+00
-4139	8.20E-02	5.04E-01	1.67E+00
-4140	8.15E-02	4.94E-01	1.57E+00
-4141	8.14E-02	4.84E-01	1.47E+00
-4142	8.12E-02	4.74E-01	1.37E+00
-4143	8.10E-02	4.64E-01	1.27E+00
-4144	8.09E-02	4.55E-01	1.17E+00
-4145	8.07E-02	4.45E-01	1.08E+00
-4146	8.05E-02	4.35E-01	9.87E-01
-4147	8.02E-02	4.26E-01	8.96E-01
-4148	7.98E-02	4.17E-01	8.09E-01
-4149	7.94E-02	4.08E-01	7.23E-01
-4150	7.88E-02	4.00E-01	6.37E-01
-4151	7.81E-02	3.92E-01	5.54E-01
-4152	7.74E-02	3.84E-01	4.72E-01
-4153	7.66E-02	3.77E-01	3.88E-01
-4154	7.57E-02	3.71E-01	3.06E-01
-4155	7.48E-02	3.65E-01	2.25E-01
-4156	7.40E-02	3.59E-01	1.43E-01
-4157	7.31E-02	3.54E-01	6.08E-02
-4158	7.22E-02	3.50E-01	6.26E+00
-4159	7.14E-02	3.47E-01	6.18E+00
-4160	7.06E-02	3.44E-01	6.10E+00
-4161	6.98E-02	3.43E-01	6.02E+00
-4162	6.90E-02	3.41E-01	5.94E+00
-4163	6.84E-02	3.41E-01	5.86E+00
-4164	6.75E-02	3.42E-01	5.77E+00
-4165	6.68E-02	3.43E-01	5.69E+00
-4166	6.61E-02	3.44E-01	5.61E+00
-4167	6.53E-02	3.47E-01	5.52E+00
-4168	6.45E-02	3.50E-01	5.44E+00
-4169	6.37E-02	3.54E-01	5.35E+00
-4170	6.29E-02	3.58E-01	5.26E+00
-4171	6.18E-02	3.63E-01	5.17E+00
-4172	6.08E-02	3.69E-01	5.07E+00
-4173	5.98E-02	3.75E-01	4.97E+00
-4174	5.87E-02	3.81E-01	4.87E+00
-4175	5.75E-02	3.88E-01	4.76E+00
-4176	5.63E-02	3.95E-01	4.65E+00
-4177	5.53E-02	4.02E-01	4.54E+00
-4178	5.42E-02	4.10E-01	4.41E+00
-4179	5.33E-02	4.18E-01	4.29E+00
-4180	5.26E-02	4.26E-01	4.16E+00
-4181	5.19E-02	4.34E-01	4.03E+00
-4182	5.13E-02	4.43E-01	3.89E+00
-4183	5.09E-02	4.51E-01	3.76E+00
-4184	5.06E-02	4.60E-01	3.62E+00
-4185	5.01E-02	4.69E-01	3.48E+00
-4186	4.98E-02	4.78E-01	3.34E+00
-4187	4.96E-02	4.87E-01	3.20E+00
-4188	4.93E-02	4.95E-01	3.05E+00
-4189	4.91E-02	5.04E-01	2.91E+00
-4190	4.89E-02	5.13E-01	2.76E+00
-4191	4.90E-02	5.22E-01	2.60E+00
-4192	4.91E-02	5.30E-01	2.45E+00
-4193	4.94E-02	5.38E-01	2.29E+00
-4194	4.99E-02	5.47E-01	2.13E+00
-4195	5.04E-02	5.55E-01	1.98E+00
-4196	5.12E-02	5.63E-01	1.82E+00
-4197	5.22E-02	5.70E-01	1.67E+00
-4198	5.34E-02	5.78E-01	1.51E+00
-4199	5.45E-02	5.85E-01	1.36E+00
-4200	5.58E-02	5.93E-01	1.21E+00
-4201	5.74E-02	6.00E-01	1.07E+00
-4202	5.89E-02	6.07E-01	9.20E-01
-4203	6.05E-02	6.13E-01	7.80E-01
-4204	6.21E-02	6.20E-01	6.40E-01
-4205	6.38E-02	6.26E-01	5.02E-01
-4206	6.53E-02	6.32E-01	3.68E-01
-4207	6.69E-02	6.38E-01	2.35E-01
-4208	6.85E-02	6.43E-01	1.01E-01
-4209	7.00E-02	6.48E-01	6.25E+00
-4210	7.14E-02	6.53E-01	6.12E+00
-4211	7.29E-02	6.58E-01	5.99E+00
-4212	7.46E-02	6.63E-01	5.86E+00
-4213	7.61E-02	6.67E-01	5.73E+00
-4214	7.76E-02	6.70E-01	5.60E+00
-4215	7.94E-02	6.74E-01	5.47E+00
-4216	8.10E-02	6.77E-01	5.34E+00
-4217	8.27E-02	6.80E-01	5.22E+00
-4218	8.45E-02	6.82E-01	5.10E+00
-4219	8.61E-02	6.84E-01	4.97E+00
-4220	8.76E-02	6.86E-01	4.85E+00
-4221	8.89E-02	6.87E-01	4.74E+00
-4222	9.03E-02	6.89E-01	4.62E+00
-4223	9.13E-02	6.90E-01	4.50E+00
-4224	9.23E-02	6.90E-01	4.38E+00
-4225	9.33E-02	6.90E-01	4.27E+00
-4226	9.40E-02	6.90E-01	4.15E+00
-4227	9.47E-02	6.90E-01	4.04E+00
-4228	9.52E-02	6.89E-01	3.92E+00
-4229	9.59E-02	6.88E-01	3.80E+00
-4230	9.62E-02	6.87E-01	3.69E+00
-4231	9.67E-02	6.85E-01	3.57E+00
-4232	9.71E-02	6.83E-01	3.46E+00
-4233	9.74E-02	6.81E-01	3.34E+00
-4234	9.76E-02	6.78E-01	3.23E+00
-4235	9.79E-02	6.74E-01	3.11E+00
-4236	9.81E-02	6.71E-01	3.00E+00
-4237	9.81E-02	6.67E-01	2.89E+00
-4238	9.82E-02	6.62E-01	2.77E+00
-4239	9.83E-02	6.57E-01	2.66E+00
-4240	9.82E-02	6.52E-01	2.55E+00
-4241	9.80E-02	6.47E-01	2.44E+00
-4242	9.78E-02	6.41E-01	2.33E+00
-4243	9.74E-02	6.35E-01	2.23E+00
-4244	9.67E-02	6.29E-01	2.12E+00
-4245	9.61E-02	6.22E-01	2.01E+00
-4246	9.54E-02	6.15E-01	1.90E+00
-4247	9.44E-02	6.08E-01	1.79E+00
-4248	9.34E-02	6.01E-01	1.68E+00
-4249	9.25E-02	5.93E-01	1.58E+00
-4250	9.14E-02	5.85E-01	1.46E+00
-4251	9.04E-02	5.77E-01	1.36E+00
-4252	8.95E-02	5.69E-01	1.25E+00
-4253	8.87E-02	5.60E-01	1.14E+00
-4254	8.77E-02	5.52E-01	1.03E+00
-4255	8.68E-02	5.43E-01	9.19E-01
-4256	8.60E-02	5.34E-01	8.13E-01
-4257	8.51E-02	5.24E-01	7.07E-01
-4258	8.41E-02	5.15E-01	6.03E-01
-4259	8.30E-02	5.05E-01	5.00E-01
-4260	8.20E-02	4.96E-01	3.97E-01
-4261	8.07E-02	4.86E-01	2.96E-01
-4262	7.95E-02	4.76E-01	1.94E-01
-4263	7.83E-02	4.67E-01	9.32E-02
-4264	7.68E-02	4.57E-01	6.27E+00
-4265	7.54E-02	4.48E-01	6.18E+00
-4266	7.41E-02	4.39E-01	6.08E+00
-4267	7.26E-02	4.30E-01	5.97E+00
-4268	7.11E-02	4.21E-01	5.87E+00
-4269	6.97E-02	4.13E-01	5.77E+00
-4270	6.84E-02	4.05E-01	5.67E+00
-4271	6.71E-02	3.97E-01	5.57E+00
-4272	6.58E-02	3.90E-01	5.47E+00
-4273	6.46E-02	3.83E-01	5.37E+00
-4274	6.35E-02	3.77E-01	5.27E+00
-4275	6.25E-02	3.71E-01	5.17E+00
-4276	6.16E-02	3.66E-01	5.07E+00
-4277	6.09E-02	3.61E-01	4.97E+00
-4278	5.99E-02	3.57E-01	4.88E+00
-4279	5.90E-02	3.54E-01	4.78E+00
-4280	5.83E-02	3.52E-01	4.69E+00
-4281	5.73E-02	3.50E-01	4.59E+00
-4282	5.64E-02	3.49E-01	4.49E+00
-4283	5.54E-02	3.49E-01	4.39E+00
-4284	5.46E-02	3.50E-01	4.29E+00
-4285	5.36E-02	3.51E-01	4.18E+00
-4286	5.28E-02	3.54E-01	4.07E+00
-4287	5.21E-02	3.57E-01	3.96E+00
-4288	5.16E-02	3.61E-01	3.84E+00
-4289	5.13E-02	3.65E-01	3.72E+00
-4290	5.12E-02	3.71E-01	3.59E+00
-4291	5.13E-02	3.77E-01	3.46E+00
-4292	5.15E-02	3.83E-01	3.34E+00
-4293	5.19E-02	3.90E-01	3.21E+00
-4294	5.26E-02	3.98E-01	3.08E+00
-4295	5.31E-02	4.06E-01	2.95E+00
-4296	5.37E-02	4.15E-01	2.83E+00
-4297	5.44E-02	4.24E-01	2.70E+00
-4298	5.52E-02	4.33E-01	2.57E+00
-4299	5.59E-02	4.42E-01	2.44E+00
-4300	5.67E-02	4.52E-01	2.30E+00
-4301	5.76E-02	4.62E-01	2.17E+00
-4302	5.85E-02	4.72E-01	2.04E+00
-4303	5.95E-02	4.81E-01	1.90E+00
-4304	6.08E-02	4.91E-01	1.76E+00
-4305	6.21E-02	5.01E-01	1.63E+00
-4306	6.34E-02	5.11E-01	1.49E+00
-4307	6.50E-02	5.21E-01	1.35E+00
-4308	6.68E-02	5.31E-01	1.22E+00
-4309	6.85E-02	5.40E-01	1.08E+00
-4310	7.03E-02	5.50E-01	9.54E-01
-4311	7.22E-02	5.59E-01	8.25E-01
-4312	7.42E-02	5.69E-01	6.96E-01
-4313	7.60E-02	5.78E-01	5.71E-01
-4314	7.79E-02	5.87E-01	4.45E-01
-4315	7.97E-02	5.95E-01	3.22E-01
-4316	8.12E-02	6.04E-01	1.99E-01
-4317	8.28E-02	6.12E-01	7.62E-02
-4318	8.42E-02	6.20E-01	6.24E+00
-4319	8.56E-02	6.27E-01	6.11E+00
-4320	8.68E-02	6.34E-01	5.99E+00
-4321	8.81E-02	6.41E-01	5.86E+00
-4322	8.96E-02	6.48E-01	5.74E+00
-4323	9.08E-02	6.54E-01	5.61E+00
-4324	9.22E-02	6.59E-01	5.49E+00
-4325	9.37E-02	6.64E-01	5.37E+00
-4326	9.52E-02	6.69E-01	5.24E+00
-4327	9.66E-02	6.73E-01	5.12E+00
-4328	9.81E-02	6.77E-01	5.00E+00
-4329	9.94E-02	6.80E-01	4.88E+00
-4330	1.01E-01	6.83E-01	4.76E+00
-4331	1.02E-01	6.86E-01	4.65E+00
-4332	1.03E-01	6.88E-01	4.53E+00
-4333	1.03E-01	6.90E-01	4.41E+00
-4334	1.04E-01	6.92E-01	4.30E+00
-4335	1.04E-01	6.93E-01	4.18E+00
-4336	1.05E-01	6.94E-01	4.06E+00
-4337	1.05E-01	6.95E-01	3.95E+00
-4338	1.05E-01	6.95E-01	3.83E+00
-4339	1.05E-01	6.95E-01	3.71E+00
-4340	1.05E-01	6.94E-01	3.59E+00
-4341	1.05E-01	6.93E-01	3.48E+00
-4342	1.05E-01	6.92E-01	3.36E+00
-4343	1.05E-01	6.90E-01	3.24E+00
-4344	1.04E-01	6.88E-01	3.12E+00
-4345	1.04E-01	6.85E-01	3.01E+00
-4346	1.04E-01	6.82E-01	2.89E+00
-4347	1.03E-01	6.79E-01	2.77E+00
-4348	1.03E-01	6.76E-01	2.66E+00
-4349	1.03E-01	6.72E-01	2.54E+00
-4350	1.02E-01	6.68E-01	2.43E+00
-4351	1.01E-01	6.63E-01	2.31E+00
-4352	1.00E-01	6.59E-01	2.20E+00
-4353	9.96E-02	6.54E-01	2.09E+00
-4354	9.84E-02	6.49E-01	1.97E+00
-4355	9.72E-02	6.44E-01	1.86E+00
-4356	9.60E-02	6.39E-01	1.75E+00
-4357	9.47E-02	6.33E-01	1.63E+00
-4358	9.33E-02	6.27E-01	1.52E+00
-4359	9.19E-02	6.22E-01	1.40E+00
-4360	9.05E-02	6.16E-01	1.28E+00
-4361	8.90E-02	6.09E-01	1.16E+00
-4362	8.77E-02	6.03E-01	1.05E+00
-4363	8.65E-02	5.96E-01	9.28E-01
-4364	8.52E-02	5.90E-01	8.09E-01
-4365	8.38E-02	5.83E-01	6.92E-01
-4366	8.26E-02	5.76E-01	5.77E-01
-4367	8.13E-02	5.69E-01	4.59E-01
-4368	7.99E-02	5.62E-01	3.42E-01
-4369	7.85E-02	5.55E-01	2.26E-01
-4370	7.71E-02	5.48E-01	1.09E-01
-4371	7.56E-02	5.40E-01	6.27E+00
-4372	7.42E-02	5.33E-01	6.16E+00
-4373	7.28E-02	5.26E-01	6.04E+00
-4374	7.13E-02	5.18E-01	5.92E+00
-4375	6.98E-02	5.11E-01	5.80E+00
-4376	6.85E-02	5.04E-01	5.68E+00
-4377	6.73E-02	4.97E-01	5.56E+00
-4378	6.59E-02	4.89E-01	5.43E+00
-4379	6.47E-02	4.82E-01	5.31E+00
-4380	6.36E-02	4.75E-01	5.19E+00
-4381	6.26E-02	4.69E-01	5.06E+00
-4382	6.16E-02	4.62E-01	4.94E+00
-4383	6.08E-02	4.55E-01	4.81E+00
-4384	6.02E-02	4.49E-01	4.69E+00
-4385	5.96E-02	4.43E-01	4.56E+00
-4386	5.92E-02	4.37E-01	4.44E+00
-4387	5.89E-02	4.31E-01	4.32E+00
-4388	5.86E-02	4.25E-01	4.20E+00
-4389	5.84E-02	4.20E-01	4.08E+00
-4390	5.83E-02	4.15E-01	3.96E+00
-4391	5.82E-02	4.10E-01	3.84E+00
-4392	5.81E-02	4.05E-01	3.72E+00
-4393	5.81E-02	4.01E-01	3.60E+00
-4394	5.82E-02	3.98E-01	3.49E+00
-4395	5.84E-02	3.95E-01	3.37E+00
-4396	5.87E-02	3.92E-01	3.25E+00
-4397	5.91E-02	3.90E-01	3.13E+00
-4398	5.99E-02	3.88E-01	3.01E+00
-4399	6.06E-02	3.87E-01	2.89E+00
-4400	6.15E-02	3.86E-01	2.78E+00
-4401	6.27E-02	3.86E-01	2.67E+00
-4402	6.37E-02	3.87E-01	2.55E+00
-4403	6.49E-02	3.88E-01	2.45E+00
-4404	6.62E-02	3.90E-01	2.34E+00
-4405	6.76E-02	3.92E-01	2.23E+00
-4406	6.88E-02	3.95E-01	2.12E+00
-4407	7.02E-02	3.98E-01	2.02E+00
-4408	7.15E-02	4.02E-01	1.92E+00
-4409	7.28E-02	4.06E-01	1.81E+00
-4410	7.42E-02	4.11E-01	1.70E+00
-4411	7.54E-02	4.17E-01	1.60E+00
-4412	7.68E-02	4.22E-01	1.49E+00
-4413	7.80E-02	4.28E-01	1.38E+00
-4414	7.94E-02	4.35E-01	1.28E+00
-4415	8.08E-02	4.42E-01	1.17E+00
-4416	8.21E-02	4.49E-01	1.06E+00
-4417	8.35E-02	4.57E-01	9.46E-01
-4418	8.51E-02	4.65E-01	8.35E-01
-4419	8.66E-02	4.73E-01	7.22E-01
-4420	8.81E-02	4.81E-01	6.10E-01
-4421	8.97E-02	4.90E-01	4.99E-01
-4422	9.14E-02	4.98E-01	3.87E-01
-4423	9.29E-02	5.07E-01	2.76E-01
-4424	9.45E-02	5.17E-01	1.66E-01
-4425	9.59E-02	5.26E-01	5.65E-02
-4426	9.71E-02	5.35E-01	6.23E+00
-4427	9.82E-02	5.44E-01	6.12E+00
-4428	9.91E-02	5.53E-01	6.01E+00
-4429	1.00E-01	5.63E-01	5.89E+00
-4430	1.01E-01	5.72E-01	5.78E+00
-4431	1.01E-01	5.80E-01	5.67E+00
-4432	1.02E-01	5.89E-01	5.55E+00
-4433	1.03E-01	5.97E-01	5.43E+00
-4434	1.03E-01	6.06E-01	5.31E+00
-4435	1.04E-01	6.13E-01	5.19E+00
-4436	1.05E-01	6.21E-01	5.07E+00
-4437	1.05E-01	6.28E-01	4.96E+00
-4438	1.06E-01	6.36E-01	4.84E+00
-4439	1.07E-01	6.42E-01	4.72E+00
-4440	1.07E-01	6.49E-01	4.60E+00
-4441	1.07E-01	6.55E-01	4.48E+00
-4442	1.08E-01	6.61E-01	4.37E+00
-4443	1.08E-01	6.66E-01	4.25E+00
-4444	1.08E-01	6.72E-01	4.13E+00
-4445	1.08E-01	6.77E-01	4.01E+00
-4446	1.07E-01	6.81E-01	3.90E+00
-4447	1.07E-01	6.85E-01	3.78E+00
-4448	1.06E-01	6.89E-01	3.66E+00
-4449	1.05E-01	6.92E-01	3.54E+00
-4450	1.05E-01	6.95E-01	3.42E+00
-4451	1.04E-01	6.97E-01	3.29E+00
-4452	1.03E-01	6.99E-01	3.17E+00
-4453	1.02E-01	7.00E-01	3.05E+00
-4454	1.01E-01	7.01E-01	2.92E+00
-4455	1.00E-01	7.01E-01	2.80E+00
-4456	9.96E-02	7.01E-01	2.68E+00
-4457	9.87E-02	7.00E-01	2.55E+00
-4458	9.79E-02	6.99E-01	2.43E+00
-4459	9.69E-02	6.97E-01	2.30E+00
-4460	9.61E-02	6.95E-01	2.18E+00
